역코드,역명,위도,경도,품목명,수량,유효기간일,제조년월일,기준일자
2624,상수역,37.549033,126.913546,화재용 긴급대피마스크,200,2027-09-19,2022-09-19,2025-03-10
2625,광흥창(서강)역,37.547704,126.92292,화재용 긴급대피마스크,200,2027-08-18,2022-08-18,2025-03-10
2626,대흥(서강대앞)역,37.547464,126.931971,화재용 긴급대피마스크,200,2027-09-19,2022-09-19,2025-03-10
2628,효창공원앞역,37.543592,126.951664,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2628,효창공원앞역,37.543592,126.951664,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2630,녹사평(용산구청)역,37.535563,126.973996,화재용 긴급대피마스크,200,2027-08-17,2022-08-17,2025-03-10
2630,녹사평(용산구청)역,37.535563,126.973996,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2631,이태원역,37.53469,126.98665,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2631,이태원역,37.53469,126.98665,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2632,한강진역,37.534485,126.994369,화재용 긴급대피마스크,200,2027-08-17,2022-08-17,2025-03-10
2633,버티고개역,37.53956,127.001729,화재용 긴급대피마스크,250,2027-08-17,2022-08-17,2025-03-10
2637,동묘앞역(6호선),37.566174,127.016158,화재용 긴급대피마스크,150,2025-07-31,2020-07-31,2025-03-10
2637,동묘앞역(6호선),37.566174,127.016158,화재용 긴급대피마스크,100,2027-12-31,2022-12-31,2025-03-10
2638,창신역,37.572275,127.015666,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2638,창신역,37.572275,127.015666,화재용 긴급대피마스크,100,2027-09-19,2022-09-19,2025-03-10
2639,보문역,37.579772,127.015246,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2639,보문역,37.579772,127.015246,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2640,안암(고대병원앞)역,37.585293,127.019377,화재용 긴급대피마스크,200,2027-08-16,2022-08-16,2025-03-10
2640,안암(고대병원앞)역,37.585293,127.019377,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2641,고려대(종암)역,37.586261,127.02903,화재용 긴급대피마스크,200,2027-08-17,2022-08-17,2025-03-10
2642,월곡(동덕여대)역,37.59034,127.03626,화재용 긴급대피마스크,250,2027-08-17,2022-08-17,2025-03-10
2643,상월곡(한국과학기술연구원)역,37.60192,127.041492,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2644,돌곶이역,37.606392,127.048509,화재용 긴급대피마스크,200,2027-08-17,2022-08-17,2025-03-10
2645,석계역,37.610522,127.056419,화재용 긴급대피마스크,246,2027-08-15,2022-08-15,2025-03-10
2647,화랑대(서울여대앞)역,37.617319,127.074741,화재용 긴급대피마스크,90,2027-08-16,2022-08-16,2025-03-10
2647,화랑대(서울여대앞)역,37.617319,127.074741,화재용 긴급대피마스크,60,2027-08-17,2022-08-17,2025-03-10
2648,봉화산(서울의료원)역,37.619875,127.084106,화재용 긴급대피마스크,150,2027-08-17,2022-08-17,2025-03-10
2646,태릉입구역(6호선),37.614937,127.065922,화재용 긴급대피마스크,275,2027-08-16,2022-08-16,2025-03-10
2713,수락산역,37.677804,127.055314,화재용 긴급대피마스크,200,2026-12-01,2021-12-01,2025-03-10
2714,마들역,37.664985,127.057701,화재용 긴급대피마스크,200,2027-08-31,2022-08-31,2025-03-10
2716,중계역,37.645052,127.064084,화재용 긴급대피마스크,200,2027-08-17,2022-08-17,2025-03-10
2717,하계역,37.636363,127.067999,화재용 긴급대피마스크,200,2027-08-18,2022-08-18,2025-03-10
2718,공릉(서울과학기술대)역,37.625642,127.072969,화재용 긴급대피마스크,200,2027-08-15,2022-08-15,2025-03-10
2718,공릉(서울과학기술대)역,37.625642,127.072969,화재용 긴급대피마스크,50,2027-09-19,2022-09-19,2025-03-10
2719,태릉입구역(7호선),37.617319,127.074741,화재용 긴급대피마스크,225,2027-08-16,2022-08-16,2025-03-10
2719,태릉입구역(7호선),37.617319,127.074741,화재용 긴급대피마스크,40,2027-09-19,2022-09-19,2025-03-10
2720,먹골역,37.610638,127.077719,화재용 긴급대피마스크,110,2027-08-16,2022-08-16,2025-03-10
2720,먹골역,37.610638,127.077719,화재용 긴급대피마스크,90,2027-08-17,2022-08-17,2025-03-10
2721,중화역,37.602604,127.079254,화재용 긴급대피마스크,200,2027-08-16,2022-08-16,2025-03-10
2722,상봉역,37.595673,127.085708,화재용 긴급대피마스크,350,2027-08-16,2022-08-16,2025-03-10
2723,면목역,37.588671,127.087503,화재용 긴급대피마스크,200,2027-08-16,2022-08-16,2025-03-10
2723,면목역,37.588671,127.087503,화재용 긴급대피마스크,100,2027-09-18,2022-09-18,2025-03-10
2724,사가정역,37.580912,127.088502,화재용 긴급대피마스크,50,2027-08-17,2022-08-17,2025-03-10
2724,사가정역,37.580912,127.088502,화재용 긴급대피마스크,200,2027-09-19,2022-09-19,2025-03-10
2725,용마산역,37.573752,127.086802,화재용 긴급대피마스크,200,2027-08-16,2022-08-16,2025-03-10
2726,중곡역,37.565877,127.084291,화재용 긴급대피마스크,200,2026-11-30,2021-11-30,2025-03-10
2728,어린이대공원(세종대)역,37.547962,127.07465,화재용 긴급대피마스크,250,2027-08-16,2022-08-16,2025-03-10
2731,청담역,37.519097,127.051851,화재용 긴급대피마스크,200,2027-07-27,2022-07-27,2025-03-10
2732,강남구청역,37.517185,127.04122,화재용 긴급대피마스크,200,2027-07-27,2022-07-27,2025-03-10
2732,강남구청역,37.517185,127.04122,화재용 긴급대피마스크,150,2027-09-19,2022-09-19,2025-03-10
2733,학동역,37.514262,127.031738,화재용 긴급대피마스크,200,2027-07-28,2022-07-28,2025-03-10
2733,학동역,37.514262,127.031738,화재용 긴급대피마스크,50,2027-09-20,2022-09-20,2025-03-10
2734,논현역,37.511108,127.021385,화재용 긴급대피마스크,250,2024-12-02,2019-12-02,2025-03-10
2735,반포역,37.508171,127.011717,화재용 긴급대피마스크,200,2027-07-27,2022-07-27,2025-03-10
2737,내방역,37.48764,126.993541,화재용 긴급대피마스크,250,2027-07-27,2022-07-27,2025-03-10
2739,남성역,37.484688,126.971108,화재용 긴급대피마스크,196,2027-07-27,2022-07-27,2025-03-10
2740,숭실대입구(살피재)역,37.496258,126.953649,화재용 긴급대피마스크,300,2030-01-01,2025-01-01,2025-03-10
2741,상도역,37.50279,126.947949,화재용 긴급대피마스크,200,2027-07-28,2022-07-28,2025-03-10
2742,장승배기역,37.504845,126.939025,화재용 긴급대피마스크,200,2027-07-26,2022-07-26,2025-03-10
2743,신대방삼거리역,37.499717,126.928218,화재용 긴급대피마스크,57,2027-07-25,2022-07-25,2025-03-10
2743,신대방삼거리역,37.499717,126.928218,화재용 긴급대피마스크,143,2027-07-26,2022-07-26,2025-03-10
2744,보라매역,37.499916,126.920112,화재용 긴급대피마스크,150,2027-07-26,2022-07-26,2025-03-10
2745,신풍역,37.500107,126.909806,화재용 긴급대피마스크,200,2027-08-19,2022-08-19,2025-03-10
2747,남구로역,37.486181,126.887372,화재용 긴급대피마스크,300,2027-08-18,2022-08-18,2025-03-10
2748,가산디지털단지역,37.480376,126.882704,화재용 긴급대피마스크,310,2027-04-01,2022-04-01,2025-03-10
