"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20241201","9호선2~3단계","올림픽공원(한국체대)","9262","9998","20241204",""
"20241201","9호선2~3단계","둔촌오륜","1078","1098","20241204",""
"20241201","9호선2~3단계","중앙보훈병원","4878","4475","20241204",""
"20241201","경강선","판교","3615","3170","20241204",""
"20241201","경강선","이매","737","564","20241204",""
"20241201","경강선","삼동","1231","1128","20241204",""
"20241201","경강선","경기광주","4444","4486","20241204",""
"20241201","경강선","초월","2154","2084","20241204",""
"20241201","경강선","곤지암","1671","1725","20241204",""
"20241201","경강선","신둔도예촌","1046","1090","20241204",""
"20241201","경강선","이천","2598","2710","20241204",""
"20241201","경강선","부발","1778","2303","20241204",""
"20241201","경강선","세종대왕릉","355","362","20241204",""
"20241201","경강선","여주","2670","2576","20241204",""
"20241201","경강선","성남","630","560","20241204",""
"20241201","경부선","서울역","11617","3580","20241204",""
"20241201","경부선","남영","6211","6460","20241204",""
"20241201","경부선","용산","46632","42636","20241204",""
"20241201","경부선","노량진","7977","8219","20241204",""
"20241201","경부선","대방","5571","6644","20241204",""
"20241201","경부선","영등포","41637","40023","20241204",""
"20241201","경부선","신도림","2659","2869","20241204",""
"20241201","경부선","신길","5191","4854","20241204",""
"20241201","경부선","구로","12532","12800","20241204",""
"20241201","경부선","가산디지털단지","7150","8028","20241204",""
"20241201","경부선","금천구청","6466","6538","20241204",""
"20241201","경부선","석수","5058","4892","20241204",""
"20241201","경부선","관악","5362","5124","20241204",""
"20241201","경부선","안양","14943","14375","20241204",""
"20241201","경부선","명학","3988","3882","20241204",""
"20241201","경부선","금정","17268","17566","20241204",""
"20241201","경부선","군포","3270","3047","20241204",""
"20241201","경부선","의왕","4695","4643","20241204",""
"20241201","경부선","성균관대","9829","10200","20241204",""
"20241201","경부선","화서","10255","9740","20241204",""
"20241201","경부선","수원","41476","39917","20241204",""
"20241201","경부선","독산","7020","7064","20241204",""
"20241201","경부선","세류","2677","2661","20241204",""
"20241201","경부선","병점","11593","12123","20241204",""
"20241201","경부선","세마","2176","2078","20241204",""
"20241201","경부선","오산대","2595","2374","20241204",""
"20241201","경부선","오산","9206","9516","20241204",""
"20241201","경부선","진위","994","1010","20241204",""
"20241201","경부선","송탄","3938","4314","20241204",""
"20241201","경부선","서정리","5676","7428","20241204",""
"20241201","경부선","평택지제","3703","3320","20241204",""
"20241201","경부선","평택","13392","14218","20241204",""
"20241201","경부선","성환","3409","4170","20241204",""
"20241201","경부선","직산","787","821","20241204",""
"20241201","경부선","두정","6049","8117","20241204",""
"20241201","경부선","천안","7526","7676","20241204",""
"20241201","경부선","당정","3661","3541","20241204",""
"20241201","경부선","서동탄","852","918","20241204",""
"20241201","경부선","광명","3604","2512","20241204",""
"20241201","경원선","이촌(국립중앙박물관)","2944","2280","20241204",""
"20241201","경원선","서빙고","2638","3075","20241204",""
"20241201","경원선","한남","1730","1798","20241204",""
"20241201","경원선","옥수","60","27","20241204",""
"20241201","경원선","응봉","1123","988","20241204",""
"20241201","경원선","왕십리(성동구청)","13333","13547","20241204",""
"20241201","경원선","청량리(서울시립대입구)","17222","16319","20241204",""
"20241201","경원선","외대앞","6721","6688","20241204",""
"20241201","경원선","신이문","5274","5040","20241204",""
"20241201","2호선","서초","16490","15849","20241204",""
"20241201","경원선","석계","5146","5640","20241204",""
"20241201","경원선","광운대","4925","5131","20241204",""
"20241201","경원선","월계","4056","3858","20241204",""
"20241201","경원선","녹천","2644","2360","20241204",""
"20241201","경원선","방학","6938","6671","20241204",""
"20241201","경원선","도봉","3737","3459","20241204",""
"20241201","경원선","도봉산","8051","5520","20241204",""
"20241201","경원선","망월사","5640","5757","20241204",""
"20241201","경원선","회룡","8813","8719","20241204",""
"20241201","경원선","의정부","15877","15831","20241204",""
"20241201","경원선","가능","4419","4253","20241204",""
"20241201","경원선","녹양","3261","2965","20241204",""
"20241201","경원선","양주","5313","5273","20241204",""
"20241201","경원선","덕계","4023","3681","20241204",""
"20241201","경원선","덕정","4020","4135","20241204",""
"20241201","경원선","지행","4995","5171","20241204",""
"20241201","경원선","동두천중앙","2169","2042","20241204",""
"20241201","경원선","보산","1315","1465","20241204",""
"20241201","경원선","동두천","1148","1364","20241204",""
"20241201","경원선","소요산","2446","2505","20241204",""
"20241201","경원선","청산","144","132","20241204",""
"20241201","경원선","전곡","1151","1144","20241204",""
"20241201","경원선","연천","1066","1036","20241204",""
"20241201","경의선","서울역","1421","1261","20241204",""
"20241201","경의선","신촌","324","392","20241204",""
"20241201","경의선","효창공원앞","1722","2035","20241204",""
"20241201","경의선","공덕","2935","2124","20241204",""
"20241201","경의선","서강대","1471","1558","20241204",""
"20241201","경의선","홍대입구","2255","2696","20241204",""
"20241201","경의선","가좌","3401","3577","20241204",""
"20241201","경의선","디지털미디어시티","1858","1673","20241204",""
"20241201","경의선","수색","1445","1506","20241204",""
"20241201","경의선","한국항공대","1103","1132","20241204",""
